"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001293776","Chtop","Chtop","Midbrain","15.5","15.5",1,"higher",0.16135,0.16135,0.00024673706830378,0.04515,1.48694420886133e-16,0.1439,TRUE,TRUE
"NM_018764","Pcdh7","Pcdh7","Midbrain","15.5","15.5",1,"higher",0.24205,0.24205,0.000264109347215472,0.00760000000000001,0.00020458590619849,0.1978,TRUE,TRUE
"NM_001122758","Pcdh7","Pcdh7","Midbrain","15.5","15.5",1,"lower",0.24205,0.24205,0.00027263568562159,0.00760000000000005,0.00020458590619849,0.1978,TRUE,TRUE
"NM_001252456","Ptprs","Ptprs","Midbrain","15.5","15.5",1,"higher",0.3187,0.3187,0.000276567699022612,0.02115,8.90160645980331e-10,0.2929,TRUE,TRUE
"NR_037603","Kat5","Kat5","Midbrain","15.5","15.5",1,"lower",0.2602,0.2602,0.000276840527126176,0.00719999999999998,0.000842284211955027,0.2242,TRUE,FALSE
"NM_172615","1700021K19Rik","1700021K19Rik","Midbrain","15.5","15.5",1,"higher",0.772775,0.772775,0.000283676264589898,0.02855,0.000213175596340347,0.7118,TRUE,TRUE
"NM_001200038","1700021K19Rik","1700021K19Rik","Midbrain","15.5","15.5",1,"lower",0.772775,0.772775,0.000284409660825362,0.02855,0.000213175596340347,0.7118,TRUE,TRUE
"NM_030263","Psd3","Psd3","Midbrain","15.5","15.5",1,"higher",0.28205,0.28205,0.000298694239475054,0.0654,7.7039026368948e-09,0.2625,TRUE,FALSE
"NM_001042707","Ilf3","Ilf3","Midbrain","15.5","15.5",1,"lower",0.121375,0.121375,0.000298747770860885,0.0111,0.00054643494318976,0.0901,TRUE,TRUE
"NM_001252621","Spock3","Spock3","Midbrain","15.5","15.5",1,"higher",0.38255,0.38255,0.00031529077884446,0.0236,0.000610172732929297,0.2248,TRUE,TRUE
"NM_001293792","Ints10","Ints10","Midbrain","15.5","15.5",1,"lower",0.59185,0.59185,0.00031898923286472,0.0483000000000002,3.21297950508097e-05,0.5164,TRUE,TRUE
