"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"Cwc22",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"E130006D01Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Lrrc28",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Plac9b",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Sec22c",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Slain2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adam9",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Atp2b4",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cacna1g",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cnnm2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cyld",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dnajc1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Gal3st1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Gm6710",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gria3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Kantr",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mbd5",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Pianp",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ppm1h",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Prrg1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rcc1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Setdb1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Slc12a6",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
